Name,SMILES_x,DDPD-ID,Drug-Name,Molecular-Weight,Molecular-Formula,data_source
"1,2-benzodiazepine",N1N=CC=CC2=CC=CC=C12,,,144.17,C9H8N2,PubChem
"1,2-distearoyllecithin",CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,,,790.1,C44H88NO8P,PubChem
"1,2-icosapentoyl-sn-glycero-3-phosphoserine",[H]C(N)(COP(O)(=O)OCC([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)C(O)=O,,,842.0,C47H72NO10P,PubChem
1-palmitoyl-2-oleoyl-sn-glycero-3-(phospho-rac-(1-glycerol)),CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCC\C=C/CCCCCCCC,,,749.0,C40H77O10P,PubChem
"2,2'-dibenzothiazyl disulfide",S(SC1=NC2=CC=CC=C2S1)C1=NC2=CC=CC=C2S1,,,332.5,C14H8N2S4,PubChem
2-mercaptobenzothiazole,S=C1NC2=C(S1)C=CC=C2,,,167.3,C7H5NS2,PubChem
4-(isopropylamino)diphenylamine,CC(C)NC1=CC=C(NC2=CC=CC=C2)C=C1,,,226.32,C15H18N2,PubChem
5-o-phosphono-alpha-d-ribofuranosyl diphosphate,O[C@H]1[C@@H](O)[C@@H](OP(O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O,,,390.07,C5H13O14P3,PubChem
abacavir,NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1,DDPD01048,Abacavir,286.3323,C14H18N6O,original
abametapir,CC1=CC=C(N=C1)C1=CC=C(C)C=N1,,,184.24,C12H12N2,PubChem
abarelix,CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,DDPD00106,Abarelix,1416.09,C72H95ClN14O14,original
abemaciclib,CCN1CCN(CC2=CC=C(NC3=NC=C(F)C(=N3)C3=CC(F)=C4N=C(C)N(C(C)C)C4=C3)N=C2)CC1,DDPD12001,Abemaciclib,506.606,C27H32F2N8,original
abiraterone,[H][C@@]12CC=C(C3=CC=CN=C3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,DDPD05812,Abiraterone,349.509,C24H31NO,original
abrocitinib,CCCS(=O)(=O)N[C@H]1C[C@H](C1)N(C)C1=C2C=CNC2=NC=N1,,,323.42,C14H21N5O2S,PubChem
acalabrutinib,CC#CC(=O)N1CCC[C@H]1C1=NC(=C2N1C=CN=C2N)C1=CC=C(C=C1)C(=O)NC1=CC=CC=N1,DDPD11703,Acalabrutinib,465.517,C26H23N7O2,original
acamprosate,CC(=O)NCCCS(O)(=O)=O,DDPD00659,Acamprosate,181.21,C5H11NO4S,original
