compound_name,NO.,IUPAC_name,SMILES,CID,logBB,BBB+/BBB-,Inchi,threshold,reference,group,comments,source,MW,AMW,SLogP,SMR,TopoPSA,TopoPSA(NO),nHBAcc,nHBDon,nRot,nAromAtom,nAromBond,nRing,nHetero,nC,nN,nO,nS,HybRatio,FCSP3,apol,bpol,LabuteASA,Lipinski,GhoseFilter
( + )-4-fluorotranylcypromine,933,"(1s,2r)-2-(4-fluorophenyl)cyclopropan-1-amine",N[C@H]1C[C@@H]1c1ccc(F)cc1,39235321.0|39235321.0|39235321.0|39235321.0|39235321.0|39235321.0|,0.81,BBB+,"InChI=1S/C9H10FN/c10-7-3-1-6(2-4-7)8-5-9(8)11/h1-4,8-9H,5,11H2/t8-,9+/m1/s1",,R2|R2|R25|R27|R46|,A,,classification|regression,151.07972754,7.19427274,1.6403,41.73340000000002,26.02,26.02,1,1,1,6,6,2,2,9,1,0,0,0.3333333333333333,0.3333333333333333,23.35492999999998,10.57507,65.0258244090965,1,0
(+)-cannabidiol,2645,"2-[(1s,6s)-3-methyl-6-prop-1-en-2-ylcyclohex-2-en-1-yl]-5-pentylbenzene-1,3-diol",C=C(C)[C@H]1CCC(C)=C[C@@H]1c1c(O)cc(CCCCC)cc1O,36688143.0,,BBB+,"InChI=1S/C21H30O2/c1-5-6-7-8-16-12-19(22)21(20(23)13-16)18-11-15(4)9-10-17(18)14(2)3/h11-13,17-18,22-23H,2,5-10H2,1,3-4H3/t17-,18+/m1/s1",-1.0,R13|,B,,classification,314.2245802000008,5.928765664150959,5.846500000000006,97.03660000000006,40.46,40.46,2,2,6,6,6,2,2,21,0,2,0,0.5238095238095238,0.5238095238095238,56.67778999999997,30.09621,140.1089651219404,0,0
(+)-epigalantamine,7431,"(1r,12r,14r)-9-methoxy-4-methyl-11-oxa-4-azatetracyclo[8.6.1.01,12.06,17]heptadeca-6(17),7,9,15-tetraen-14-ol",COc1ccc2c3c1O[C@@H]1C[C@@H](O)C=C[C@]31CCN(C)C2,7059523.0,,BBB+,"InChI=1S/C17H21NO3/c1-18-8-7-17-6-5-12(19)9-14(17)21-16-13(20-2)4-3-11(10-18)15(16)17/h3-6,12,14,19H,7-10H2,1-2H3/t12-,14+,17+/m0/s1",,R27|,C,,classification,287.1521435320006,6.836955798380966,1.8503,79.80280000000003,41.93,41.93,4,1,1,6,6,4,4,17,1,3,0,0.5294117647058824,0.5294117647058824,45.89865299999998,26.249347,124.5198277665008,1,1
(+)-ethosuximide,7202,"(3s)-3-ethyl-3-methylpyrrolidine-2,5-dione",CC[C@@]1(C)CC(=O)NC1=O,10630591.0,,BBB+,"InChI=1S/C7H11NO2/c1-3-7(2)4-5(9)8-6(7)10/h3-4H2,1-2H3,(H,8,9,10)/t7-/m0/s1",,R27|R30|,C,,classification,141.078978592,6.718046599619048,0.4491999999999999,36.1647,46.17,46.17,2,1,1,0,0,1,3,7,1,2,0,0.7142857142857143,0.7142857142857143,21.72872299999998,13.341277,59.79597894437554,1,0
(+)-naloxone,6001,"(4r,4ar,7ar,12bs)-4a,9-dihydroxy-3-prop-2-enyl-2,4,5,6,7a,13-hexahydro-1h-4,12-methanobenzofuro[3,2-e]isoquinolin-7-one",C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@]3(O)[C@H]1C5,71774987.0,,BBB+,"InChI=1S/C19H21NO4/c1-2-8-20-9-7-18-15-11-3-4-12(21)16(15)24-17(18)13(22)5-6-19(18,23)14(20)10-11/h2-4,14,17,21,23H,1,5-10H2/t14-,17+,18+,19+/m1/s1",,R24|,C,,classification,327.1470581520006,7.269934625600013,1.3014,87.27060000000004,70.0,70.0,5,2,2,6,6,5,5,19,1,4,0,0.5263157894736842,0.5263157894736842,50.04065299999998,25.381347,140.0860914644978,1,1
(+)-nicotine,7287,3-[(2r)-1-methylpyrrolidin-2-yl]pyridine,CN1CCC[C@@H]1c1cccnc1,157672.0,,BBB+,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m1/s1",,R27|,C,,classification,162.115698448,6.235219171076922,1.8483,48.84200000000003,16.13,16.13,2,0,1,6,6,2,2,10,2,0,0,0.5,0.5,28.23510199999998,16.894898,73.22976418910065,1,1
(+)-pheniramine,3163,"(3s)-n,n-dimethyl-3-phenyl-3-pyridin-2-ylpropan-1-amine",CN(C)CC[C@@H](c1ccccc1)c1ccccn1,667440.0,,BBB-,"InChI=1S/C16H20N2/c1-18(2)13-11-15(14-8-4-3-5-9-14)16-10-6-7-12-17-16/h3-10,12,15H,11,13H2,1-2H3/t15-/m0/s1",-1.0,R13|,B,,classification,240.16264864,6.320069701052631,3.165200000000001,75.69300000000005,16.13,16.13,2,0,5,12,12,2,2,16,2,0,0,0.3125,0.3125,42.25585999999998,22.91414,109.2926895486939,1,1
(+)-physostigmine,4858,"[(3as,8br)-3,4,8b-trimethyl-2,3a-dihydro-1h-pyrrolo[2,3-b]indol-7-yl] n-methylcarbamate",CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(C)[C@H]1N2C,667498.0,,BBB+,"InChI=1S/C15H21N3O2/c1-15-7-8-17(3)13(15)18(4)12-6-5-10(9-11(12)15)20-14(19)16-2/h5-6,9,13H,7-8H2,1-4H3,(H,16,19)/t13-,15+/m0/s1",,R6|R24|,C,,classification,275.1633769120006,6.711301875902453,1.7739,78.31570000000005,44.81,44.81,4,1,1,6,6,3,5,15,3,2,0,0.5333333333333333,0.5333333333333333,43.95665299999998,27.661347,119.0488166955734,1,1
(+)-terbutaline,6959,"5-[(1s)-2-(tert-butylamino)-1-hydroxyethyl]benzene-1,3-diol",CC(C)(C)NC[C@@H](O)c1cc(O)cc(O)c1,11354816.0,,BBB+,"InChI=1S/C12H19NO3/c1-12(2,3)13-7-11(16)8-4-9(14)6-10(15)5-8/h4-6,11,13-16H,7H2,1-3H3/t11-/m1/s1",,R27|,C,,classification,225.136493468,6.432471241942857,1.5193,62.48710000000004,72.72,72.72,4,4,3,6,6,1,4,12,1,3,0,0.5,0.5,36.21506699999997,19.630933,95.5536192460727,1,1
(+)-thiamylal,5994,"5-[(2r)-pentan-2-yl]-5-prop-2-enyl-2-sulfanylidene-1,3-diazinane-4,6-dione",C=CCC1([C@H](C)CCC)C(=O)NC(=S)NC1=O,3033021.0,,BBB+,"InChI=1S/C12H18N2O2S/c1-4-6-8(3)12(7-5-2)9(15)13-11(17)14-10(12)16/h5,8H,2,4,6-7H2,1,3H3,(H2,13,14,15,16,17)/t8-/m1/s1",,R24|,C,,classification,254.108898816,7.260254251885714,1.516,70.20240000000003,90.29,58.2,3,2,5,0,0,1,5,12,2,2,1,0.5833333333333334,0.5833333333333334,38.74627399999997,22.163726,106.8397289149873,1,1
